inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2012.112,A Burmese Delegation at the Mughal Court,anonymous,ca. 1815-1820,year range,1817,Delhi,India,Asia,,modern & contemporary,,
LAD 2011.108,"The Surdhaj Ascetics, Know as Mr. Flowery Man, and Ram Dani",anonymous,ca. 1815-1820,year range,1817,India,India,Asia,,modern & contemporary,,
LAD 2011.110,Thakur Daulat Singh Rathor in Durbar,anonymous,ca. 1820,,1820,India,India,Asia,,modern & contemporary,,
LAD 2012.108,Page from a Harivamsa Series: Krishna and His Courtiers by the Sea at Pandaraka,anonymous,ca. 1820,specific year,1820,"Kangra, India",India,Asia,,modern & contemporary,,
LAD 2011.045,Krishna UnmaskedChokha,anonymous,ca. 1820,specific year,1820,"Mewar, Devgarh ",India,Asia,,early modern,,
LAD 2014.017,Portrait of George Washington,Gilbert Stuart (1755-1828),1822,specific year,1822,United States of America,United States of America,America,,early modern,painting,
LAD 2011.129,Rulers Gathered in a Pavilion,anonymous,ca. 1800-1850,year range,1825,India,India,Asia,,modern & contemporary,,
LAD 2011.079,A Courtesan After Her Bath,anonymous,ca. 1820-1830,year range,1825,India,India,Asia,,modern & contemporary,,
LAD 2016.008,Imperial Ceremonial Sabre,,ca. 1830,specific year,1830,Turkey,Turkey,Asia,,early modern,metallic,
LAD 2011.063,Maharaja Man Singh of Jodhpur Playing Holi With His Wives,anonymous,ca. 1830,specific year,1830,India,India,Asia,,modern & contemporary,,
LAD 2011.109,"The ""Flowery Man"" and Other Ascetics",anonymous,ca. 1830,specific year,1830,India,India,Asia,,modern & contemporary,,
LAD 2011.121,A Barber Shaving a European in a Field,anonymous,ca. 1830,specific year,1830,India,India,Asia,,modern & contemporary,,
LAD 2011.052,Maharao Kishor Singh of Kotah at the Swing Festival,anonymous,ca. 1830,specific year,1830,Kotah ,India,Asia,,modern & contemporary,,
LAD 2020.090,"Storm Below the Summit, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),ca. 1830-1832,year range,1831,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2020.091,"Under the Wave off Kanagawa, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),ca. 1830-1832,year range,1831,Japan,Japan,Asia,,modern & contemporary,print,
