inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2020.004,"Turfan (Uighur), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2020.005,"Annam (Vietnam), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2020.006,"Ryukyu Island, Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2020.007,"Russia (?), Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2020.008,"The Netherlands, Painting from a Series of Foreign Dignitaries",Yu Zhiding (1647-1716),beginning of-mid 18th century,,,Qing dynasty,China ,Asia,Qing dynasty,early modern,painting,
LAD 2011.001,Pyramidion Inscribed with the Name of Huy,anonymous,ca 1335-1295 BCE,,,Deir el-Medina (?),Egypt,Africa,,ancient worlds,sculpture,
LAD 2012.001,"Osiris, god of the Underworld",anonymous,ca. 1085-730 BCE,,,Egypt,Egypt,Africa,,ancient worlds,sculpture,
LAD 2015.011,"Dish with Horsemen (Seven-colour Decoration, Called Haft Rang)",anonymous,ca. 1170-1220,,,Kashan,Iran,Asia,,middle ages,,
LAD 2015.012,Bowl with Confronted Horsemen,anonymous,ca. 1170-1220 CE,,,Kashan,Iran,Asia,,middle ages,,
LAD 2010.010,Bowl Decorated with Seated Figures,anonymous,"ca. 1200, Late 12th century-",,,Kashan,Iran,Asia,"Seljuk Empire, 1037-1308)",middle ages,,
LAD 2023.009,Charger Depicting the Punishment of Niobe by Diana and Apollo,anonymous,ca. 1544-1581,,,Limoges ,France,Europe,,early modern,,
LAD 2012.020,Blade in the Shape of a Laurel Leaf,anonymous,"ca. 22,000 BCE-18,000 BCE",,,Dordogne (?),France,Europe,,ancient worlds,weapon,
LAD 2011.024,"Female figure called "" Bactrian princess""",anonymous,ca. 2300 BCE-1700 BCE,,,"Afghanistan, Tajikistan and Uzbekistan (modern day)",Afghanistan,Asia,,ancient worlds,sculpture,
LAD 2011.025,Plank figure with two heads,anonymous,ca. 2300 BCE-1900 BCE,,,Cyprus,Cyprus,Asia,,ancient worlds,ceramic,https://collection.louvreabudhabi.ae/en/object/plank-figure-with-two-heads-100004964
LAD 2015.006,"Medallion of Severus Alexander, Roman Emperor",anonymous,ca. 231 CE-235 CE,,,Rome ,Italy,Europe,,ancient worlds,,
LAD 2012.003,Buddha Head,anonymous,ca. 240-ca. 550,,,"Northern India, Mathura Region",India,Asia,"5th, century Gupta Empire ",middle ages,,
LAD 2015.001,Female Figurine,anonymous,ca. 3100-2800 BCE,,,Hierakonpolis (?) ,Egypt,Africa,,ancient worlds,furniture,
LAD 2012.021,Knife Blade,anonymous,ca. 3200 BCE-3000 BCE,,,Egypt,Egypt,Africa,,ancient worlds,,
LAD 2015.007,Jar with cord-patterned decoration,anonymous,ca. 3500 BCE-2500 BCE,,,North Kanto ,Japan,Asia,,ancient worlds,,
LAD 2015.005,Decadrachm with an Image of the Nymph ArethusaEuainetos (?-345 BCE),Workshop of Euainetos,ca. 412 BCE-393 BCE,,,"Syracuse, Sicily ",Italy,Europe,anonymous,ancient worlds,numismatic,
LAD 2014.004,Candleholder in the Form of a Kneeling Figure,anonymous,ca. 475 BCE ca. 221 BCE,,,China,China,Asia,,ancient worlds,,
LAD 2012.019,Hand Axe,anonymous,"ca. 500,000 BCE",,,Indre-et-Loire,France,Europe,,ancient worlds,,
LAD 2012.019,Hand Axe,anonymous,"ca. 500,000 BCE",,,Indre-et-Loire,France,Europe,,ancient worlds,,
LAD 2009.010,Buddha Head,anonymous,ca. 530-580,,,Northern China,China,Asia,"Eastern Wei (534-550) or Northern Qi Dynasty (550-577), CE",middle ages,sculpture,
LAD 2013.003,Column-krater with Animals and Armed HorsemenDetroit Painter,anonymous,ca. 590 BCE-580 BCE,,,Corinth (?) ,Greece,Europe,,ancient worlds,,
LAD 2016.001,Bactrian Horse,anonymous,ca. 618-907,,,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,,
LAD 2009.019,Lion Bracelet,anonymous,ca. 800 BCE-600 BCE,,,Ziwiye ,Iran,Asia,,ancient worlds,jewellry,https://collection.louvreabudhabi.ae/en/object/lion-bracelet-100004812
LAD 2015.010,Bowl Decorated with Birds Enclosing the Inscription “Blessing”,anonymous,"ca. 900 1000, Samanid Dynasty (819-999)",,,Central Asia,,Asia,,middle ages,,
LAD 2014.008,Funerary Mask,anonymous,ca. 907 1125,,,Northern China,China,Asia,,middle ages,,
LAD 2019.034,Standing Jina,anonymous,"Chola Dynasty (848-1279), 11th century",,,Tamil Nadu ,India,Asia,,middle ages,,
LAD 2013.054,Chamfered Vase with Royal Crane Motifs (Lajvardina Decoration),anonymous,"end of 13th-beginning of 14th,",,,Iran,Iran,Asia,Ilkhanid Dynasty (1256-1335) century,middle ages,,
LAD 2018.003,"Basin Inscribed with the Name of Ahmad ibn Al-Jundi (?), Officer of Al-Malik al-Nasir, Mameluk SultanAhmad ibn al-Jundi, Officer of Al-Malik al-Nasir, Mamluk Sultan",anonymous,"end of 13th, beginning of 14th century, Mamluk Dynasty (1250-1517)",,,Egypt or Syria,various,,,middle ages,,
LAD 2018.006.001,Ottoman Armor of a Rider and a Horse,,end of 15th -beginning of 16th century,,,Ottoman Turkey,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2021.019,Oliphant,anonymous,end of 15th-beginning of 16th century,,,Sierra Leone,Sierra Leone,Africa,,early modern,,
LAD 2011.017,Bodhidharma (Monk and Founder of Zen Buddhism),Ekuin Fûgai (1568-1654),end of 16th -beginning of 17th century,,,Japan,Japan,Asia,,early modern,,
LAD 2015.019,Casket Decorated with Animal Scenes,anonymous,end of 16th century,,,Japan,Japan,Asia,,early modern,,
LAD 2019.007,Gospels in Old Church Slavonic,anonymous,end of 16th century,,,"Moscow (?), ",Russia,Europe,,middle ages,,
LAD 2021.023,Itomaki no Tachi Sword and Sheath,anonymous,end of 17th -beginning of 18th century,,,Japan,Japan,Asia,,early modern,,
LAD 2021.025,Saddle Cover,anonymous,end of 17th -beginning of 18th century century,,,Iran,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2009.016,The Embarkment of the Emperor of China,Philippe Behagle (1641-1705),end of 17th century,,,"Royal Tapestry Manufactory, Beauvais, ",France,Europe,,early modern,textile,
LAD 2012.096,Nobleman Smoking in a Garden,anonymous,end of 17th century,,,"Aurangabad (?), Deccan, India",India,Asia,,early modern,,
LAD 2011.018,Monkeys and Reflection of the Moon,Kokan Myôyo (1653-1717),end of 17th century,,,Japan,Japan,Asia,,early modern,,
LAD 2020.093,"Plum Estate, Kameido, from the series One Hundred Famous Views of Edo",Utagawa Hiroshige (1797-1858),end of 1857,,,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2011.074,The Interior of a Chamber in a Tower,anonymous,end of 18th century,,,India,India,Asia,,early modern,,
LAD 2022.009,"Figure of Surya, Deity of the Sun",Kulen style century,end of the 7th century,,,Cambodia,Cambodia,Asia,Kulen style century,middle ages,,
LAD 2019.027,Dagger Decorated with Calligraphy and Floral Designs,anonymous,late 15th century,,,Granada,Spain,Europe,,middle ages,,
LAD 2010.015,"Panelling and Ceiling, with an Allegory of Nobility",anonymous,mid 17th century,,,Paris,France,Europe,,early modern,,
LAD 2011.088,“Circle of Love” of Krishna and Gopi,anonymous,mid 18th century,,,Andhra Pradesh ,India,Asia,,early modern,,
LAD 2012.103,A Prince Being Entertained on a Garden Terrace,anonymous,mid 18th century,,,Bikaner ,India,Asia,,early modern,,
LAD 2011.087,Krishna Hides the Gopis' Clothes,anonymous,mid 18th century,,,India,India,Asia,,early modern,,
LAD 2010.013,Ceremonial Armour,Iwai Schichirobei Munesuke,production date armour : 2nd half of 19th century,,,Kyoto,Japan,Asia,,early modern,,
LAD 2014.012,Ceremonial Dagger with a Voluteshaped Hilt,anonymous,production date handle : 17th century,,,India,India,Asia,,early modern,,
LAD 2014.015,Ceremonial Dagger,anonymous,production date handle : 17th century,,,India,India,Asia,,early modern,,
LAD 2020.128.001,Two Leaves from a Manuscript of Firdawsi’s Shahnama: Iskandar is Warned of the Dragon on the Mountain and The Khaqan of Chin Writes a Letter to Anushirvan (recto),anonymous,Safar 973 AH,,,Qazvin ,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2020.128.002,Two Leaves from a Manuscript of Firdawsi’s Shahnama: Iskandar is Warned of the Dragon on the Mountain and The Khaqan of Chin Writes a Letter to Anushirvan (recto),anonymous,Safar 973 AH,,,Qazvin ,Iran,Asia,Safavid Dynasty; ,early modern,,
LAD 2020.104,Carved Panel,anonymous,"Umayyad Period (756-1031), 10th century",,,"probably Medinat al-Zahra’, Cordoba, ",Spain,Europe,,middle ages,,
LAD 2011.139,Vase with Fish Decoration,William De Morgan (1839-1917),undated,,,London,United Kingdom,Europe,,modern & contemporary,,
LAD 2011.140,Vase in Persian Style,William De Morgan (1839-1917),undated,,,London,United Kingdom,Europe,,modern & contemporary,,
